scientificname;decimalLat;decimalLong
Eulemur albifrons;-14,0442332;49,740067
Eulemur albifrons;-14,436634;49,743328
Eulemur albifrons;-14,43443;49,760521
Eulemur albifrons;-14,437499;49,775575
Eulemur albifrons;-15,1882;49,6143
Eulemur albifrons;-15,22608333;49,52945
Eulemur albifrons;-15,4393;49,53488333
Eulemur albifrons;-15,03528333;49,584
Eulemur albifrons;-15,29066667;49,54911667
Eulemur albifrons;-15,19;49,61444444
Eulemur albifrons;-15,49166667;49,16027778
Eulemur albifrons;-14,745;49,46166667
Eulemur albifrons;-14,74166667;49,44166667
Eulemur albifrons;-18,51666667;49,28333333
Eulemur albifrons;-16,93583333;48,76944444
Eulemur albifrons;-15,68333333;49,95555556
Eulemur albifrons;-15,675;49,375
Eulemur albifrons;-15,53333333;49,61666667
Eulemur albifrons;-15,26666667;50,05
Eulemur albifrons;-14,78333333;49,44166667
Eulemur albifrons;-14,68333333;49,41666667
Eulemur albifrons;-14,54333333;49,425
Eulemur albifrons;-14,53833333;49,43833333
Eulemur albifrons;-14,43666667;49,62
Eulemur albifrons;-14,42666667;49,60833333
Eulemur albifrons;-14,43333333;49,795
Eulemur albifrons;-15,48111111;49,16138889
Eulemur albifrons;-15,48638889;49,16666667
Eulemur albifrons;-15,40555556;49,13638889
Eulemur albifrons;-15,03527778;49,58416667
Eulemur albifrons;-17,88333333;49,16666667
Eulemur albifrons;-17,83333333;49,18333333
Eulemur albifrons;-15,74222222;50,18277778
Eulemur albifrons;-15,28333333;49,56666667
Eulemur albifrons;-15,22583333;49,52944444
Eulemur albifrons;-14,765;49,43166667
Eulemur albifrons;-14,44;49,74166667
Eulemur albifrons;-15,43916667;49,53444444
Eulemur albifrons;-15,78333333;50,23333333
Eulemur albifrons;-15,40111111;49,43583333
Eulemur albifrons;-15,29027778;49,5475
Eulemur albifrons;-14,755;49,505
Eulemur albifrons;-15,3;50,23333333
Eulemur albifrons;-16,28361111;48,79916667
Eulemur albifrons;-14,26666667;50,16666667
Eulemur albifrons;-15,4;50,43333333
Eulemur albifrons;-15,40888889;49,14694444
Eulemur coronatus;-12,76861111;49,02638889
Eulemur coronatus;-14,10055556;50,04555556
Eulemur coronatus;-13,11055556;49,69861111
Eulemur coronatus;-13,25694444;49,61055556
Eulemur coronatus;-13,09861111;49,91222222
Eulemur coronatus;-12,75102778;49,14919444
Eulemur coronatus;-12,75447222;49,16702778
Eulemur coronatus;-12,76869444;49,15655556
